Date,Open,High,Low,Close,Volume,Adj Close
2010-07-30,127.43,128.979996,127.040001,128.399994,6021000,109.037598
2010-07-29,129.059998,129.50,127.139999,128.020004,8994200,108.714909
2010-07-28,128.669998,129.350006,127.879997,128.429993,4248800,109.063073
2010-07-27,128.779999,129.169998,127.889999,128.630005,4648200,109.232923
2010-07-26,128.179993,128.429993,127.139999,128.410004,5174900,109.046098
2010-07-23,127.300003,128.800003,127.00,128.380005,5078000,109.020623
2010-07-22,126.32,127.779999,126.050003,127.470001,6909000,108.247845
2010-07-21,126.440002,126.50,124.620003,125.269997,8615500,106.379596
2010-07-20,122.970001,126.559998,122.93,126.550003,16337400,107.466581
2010-07-19,128.669998,130.380005,128.369995,129.789993,8388600,110.217989
2010-07-16,129.960007,130.149994,127.849998,128.029999,7002900,108.723397
2010-07-15,129.869995,130.919998,129.550003,130.720001,6186800,111.007754
2010-07-14,129.320007,131.600006,129.139999,130.720001,6607200,111.007754
2010-07-13,128.970001,130.979996,128.690002,130.479996,6687700,110.80394
2010-07-12,127.370003,128.830002,127.160004,128.669998,4206900,109.266886
2010-07-09,127.900002,128.199997,127.290001,127.959999,3898000,108.663953
2010-07-08,127.370003,128.149994,126.739998,127.970001,5439300,108.672447
2010-07-07,123.470001,127.120003,123.470001,127.00,7090300,107.848719
2010-07-06,123.580002,124.629997,122.169998,123.459999,6348700,104.842542
2010-07-02,123.290001,123.290001,120.610001,121.860001,6454500,103.483819
2010-07-01,123.550003,124.209999,121.610001,122.57,9742100,104.086752
2010-06-30,124.830002,125.220001,123.00,123.480003,8018000,104.859529
2010-06-29,127.349998,128.399994,124.120003,125.089996,9376200,106.226739
2010-06-28,127.650002,129.470001,127.220001,128.979996,6335100,109.530137
2010-06-25,128.339996,129.100006,127.120003,127.120003,10420400,107.950626
2010-06-24,129.570007,129.729996,127.699997,128.190002,5565500,108.859272
2010-06-23,129.25,131.470001,129.089996,130.110001,6855800,110.48974
2010-06-22,130.369995,131.470001,129.070007,129.300003,6030200,109.801888
2010-06-21,131.419998,131.940002,130.220001,130.649994,6857800,110.948303
2010-06-18,131.020004,131.25,130.130005,130.149994,9581400,110.523702
2010-06-17,130.070007,131.029999,129.860001,130.979996,5571000,111.228542
2010-06-16,128.339996,130.679993,128.339996,130.350006,6401000,110.693553
2010-06-15,128.929993,129.949997,128.369995,129.789993,6652500,110.217989
2010-06-14,128.50,129.970001,128.490005,128.50,6753000,109.122523
2010-06-11,126.730003,128.800003,126.440002,128.449997,5820200,109.08006
2010-06-10,125.989998,128.220001,125.800003,127.68,7479700,108.426177
2010-06-09,124.830002,125.839996,123.580002,123.900002,7795500,105.216193
2010-06-08,124.260002,124.459999,122.82,123.720001,8399200,105.063336
2010-06-07,125.57,125.860001,124.129997,124.129997,6951400,105.411506
2010-06-04,126.370003,127.099998,124.669998,125.279999,9669200,106.38809
2010-06-03,127.75,128.220001,126.459999,127.959999,6645300,108.663953
2010-06-02,124.849998,127.50,124.349998,127.410004,7705300,108.196895
2010-06-01,124.690002,126.879997,124.199997,124.339996,7135400,105.589837
2010-05-28,125.959999,126.279999,124.290001,125.260002,7421900,106.371109
2010-05-27,125.050003,126.389999,124.769997,126.389999,7725900,107.330705
2010-05-26,124.889999,125.940002,123.00,123.230003,9083200,104.647229
2010-05-25,121.470001,124.949997,121.470001,124.519997,9494800,105.742694
2010-05-24,125.260002,126.019997,124.040001,124.449997,6868600,105.68325
2010-05-21,122.160004,125.610001,121.400002,125.419998,12639500,106.506978
2010-05-20,127.220001,127.959999,123.68,123.800003,13176500,105.131274
2010-05-19,129.369995,130.50,127.82,128.860001,8669300,109.428236
2010-05-18,131.259995,131.990005,129.899994,129.949997,9330000,110.353864
2010-05-17,130.679993,131.759995,128.699997,130.440002,8923400,110.769978
2010-05-14,131.059998,131.669998,129.410004,131.190002,9920100,111.40688
2010-05-13,130.929993,133.100006,130.850006,131.479996,10497800,111.653143
2010-05-12,127.160004,132.850006,127.010002,132.679993,16626900,112.672183
2010-05-11,125.209999,128.419998,125.150002,126.889999,6498900,107.755306
2010-05-10,126.269997,126.669998,125.059998,126.269997,8463900,107.228799
2010-05-07,123.360001,124.389999,120.00,122.099998,10584800,103.687626
2010-05-06,126.290001,127.93,116.00,123.919998,13168800,105.233174
2010-05-05,127.120003,128.229996,126.870003,127.459999,6072800,107.687369
2010-05-04,128.889999,128.929993,126.57,128.119995,8285000,108.244981
2010-05-03,129.389999,130.139999,128.800003,129.600006,4992100,109.495401
2010-04-30,130.429993,130.639999,128.839996,129.00,6266700,108.988472
2010-04-29,130.550003,131.210007,130.149994,130.460007,5786900,110.221991
2010-04-28,129.399994,130.470001,129.029999,130.100006,7122300,109.917837
2010-04-27,129.899994,132.00,128.710007,128.820007,10916700,108.836402
2010-04-26,129.759995,131.039993,129.539993,130.729996,5285400,110.450097
2010-04-23,129.080002,130.100006,128.710007,129.990005,6197300,109.8249
2010-04-22,128.639999,129.360001,127.769997,129.130005,6018500,109.09831
2010-04-21,129.869995,130.270004,128.50,128.990005,7559200,108.980028
2010-04-20,129.199997,130.330002,128.259995,129.690002,15216500,109.571436
2010-04-19,130.380005,132.279999,130.380005,132.229996,11353700,111.717405
2010-04-16,130.679993,132.169998,130.25,130.630005,9546200,110.365618
2010-04-15,130.529999,131.139999,130.190002,130.889999,6425300,110.58528
2010-04-14,129.729996,131.419998,129.460007,131.25,8545800,110.889434
2010-04-13,128.259995,129.429993,127.839996,129.029999,6819100,109.013817
2010-04-12,128.570007,128.960007,128.240005,128.360001,3992300,108.447755
2010-04-09,127.879997,128.869995,127.120003,128.759995,5185100,108.785698
2010-04-08,128.039993,128.229996,127.199997,127.610001,6006900,107.814101
2010-04-07,128.529999,129.270004,128.009995,128.479996,5157000,108.549135
2010-04-06,128.679993,129.300003,128.050003,128.929993,3926300,108.929325
2010-04-05,128.380005,129.800003,128.139999,129.350006,4118700,109.284183
2010-04-01,128.949997,129.309998,127.550003,128.25,4980500,108.354818
2010-03-31,128.229996,128.75,127.650002,128.25,4904800,108.354818
2010-03-30,128.899994,129.130005,128.25,128.770004,3426600,108.794155
2010-03-29,129.300003,129.949997,128.259995,128.589996,4643000,108.642072
2010-03-26,128.929993,129.779999,128.720001,129.259995,5550800,109.208134
2010-03-25,129.360001,130.729996,129.130005,129.240005,7603200,109.191246
2010-03-24,128.630005,129.949997,128.470001,128.529999,6669300,108.591382
2010-03-23,127.940002,129.429993,127.639999,129.369995,5978500,109.301071
2010-03-22,127.110001,128.389999,126.57,127.980003,5651900,108.126706
2010-03-19,127.709999,128.929993,126.779999,127.709999,10744300,107.898587
2010-03-18,127.459999,128.75,127.449997,128.380005,4954400,108.464656
2010-03-17,128.899994,128.929993,127.360001,127.760002,6348400,107.940833
2010-03-16,128.00,128.880005,127.449997,128.669998,6134900,108.709663
2010-03-15,127.400002,128.339996,127.279999,127.830002,4497700,107.999974
2010-03-12,127.910004,128.369995,127.510002,127.940002,5169500,108.09291
2010-03-11,125.709999,127.809998,125.709999,127.599998,7922200,107.80565
2010-03-10,125.989998,126.360001,125.209999,125.620003,6916200,106.132808
2010-03-09,126.269997,126.290001,125.199997,125.550003,7528800,106.073667
2010-03-08,127.059998,127.50,126.360001,126.410004,6199300,106.800257
2010-03-05,127.169998,127.550003,127.040001,127.25,6140200,107.509947
2010-03-04,127.07,127.07,125.470001,126.720001,6032300,107.062165
2010-03-03,127.730003,128.020004,126.68,126.879997,6390000,107.197342
